domain,instance,planner,heuristic,condition,status,validation,wall_seconds,expanded_nodes,evaluated_states,search_states,objective,csv_path
watering,p002,metric-ff-cross-v1,numeric-hff,loose/loose,solved,valid,0.200995,,471,471,328.0,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/results.csv
watering,p002,metric-ff-cross-v1,numeric-hff,loose/tight,solved,valid,0.200972,,411,411,276.0,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/results.csv
watering,p002,metric-ff-cross-v1,numeric-hff,tight/loose,solved,valid,0.20102,,544,544,320.0,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/results.csv
watering,p002,metric-ff-cross-v1,numeric-hff,tight/tight,solved,valid,0.200934,,782,782,327.0,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/results.csv
watering,p002,numeric-fast-downward-local,irhadd,loose/loose,solved,valid,0.401651,3363,,3363,77.0,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/results.csv
watering,p002,numeric-fast-downward-local,irhadd,loose/tight,solved,valid,0.401868,3363,,3363,77.0,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/results.csv
watering,p002,numeric-fast-downward-local,irhadd,tight/loose,solved,valid,15.862029,549228,,549228,99.0,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/results.csv
watering,p002,numeric-fast-downward-local,irhadd,tight/tight,solved,valid,8.834398,308249,,308249,114.0,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/results.csv
watering,p003,count-downward-agile,irhff,loose/loose,solved,valid,0.401714,7061,,7061,144.0,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/results.csv
watering,p003,count-downward-agile,irhff,loose/tight,solved,valid,0.201002,2103,,2103,197.0,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/results.csv
watering,p003,count-downward-agile,irhff,tight/loose,solved,valid,2.208778,134220,,134220,232.0,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/results.csv
watering,p003,count-downward-agile,irhff,tight/tight,solved,valid,0.602572,30931,,30931,310.0,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/results.csv
watering,p003,enhsp,hadd,loose/loose,solved,valid,0.402268,1641,,1641,156.0,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/results.csv
watering,p003,enhsp,hadd,loose/tight,solved,valid,0.802852,11116,,11116,136.0,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/results.csv
watering,p003,enhsp,hadd,tight/loose,solved,valid,11.845522,421808,,421808,169.0,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/results.csv
watering,p003,enhsp,hadd,tight/tight,solved,valid,16.860523,613324,,613324,184.0,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/results.csv
watering,p003,enhsp,hradd,loose/loose,solved,valid,0.401716,642,,642,176.0,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/results.csv
watering,p003,enhsp,hradd,loose/tight,solved,valid,0.602427,1783,,1783,206.0,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/results.csv
watering,p003,enhsp,hradd,tight/loose,solved,valid,1.405031,20486,,20486,206.0,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/results.csv
watering,p003,enhsp,hradd,tight/tight,solved,valid,2.007258,39363,,39363,274.0,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/results.csv
watering,p003,metric-ff-cross-v1,numeric-hff,loose/loose,solved,valid,0.201192,,1634,1634,253.0,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/results.csv
watering,p003,metric-ff-cross-v1,numeric-hff,loose/tight,solved,valid,0.200943,,1634,1634,299.0,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/results.csv
watering,p003,metric-ff-cross-v1,numeric-hff,tight/loose,solved,valid,0.20104,,3247,3247,452.0,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/results.csv
watering,p003,metric-ff-cross-v1,numeric-hff,tight/tight,solved,valid,0.201065,,5137,5137,566.0,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/results.csv
watering,p003,numeric-fast-downward-local,irhadd,loose/loose,solved,valid,0.602471,8081,,8081,121.0,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/results.csv
watering,p003,numeric-fast-downward-local,irhadd,loose/tight,solved,valid,2.007988,53020,,53020,136.0,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/results.csv
watering,p003,numeric-fast-downward-local,irhadd,tight/loose,solved,valid,41.359473,1177378,,1177378,169.0,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/results.csv
watering,p003,numeric-fast-downward-local,irhadd,tight/tight,solved,valid,46.775622,1815848,,1815848,184.0,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/results.csv
watering,p004,count-downward-agile,irhff,loose/loose,solved,valid,0.201066,1753,,1753,147.0,results/controlled-resource/matched-2x2-p004-20260919-190431-460983/results.csv
watering,p004,count-downward-agile,irhff,loose/tight,solved,valid,0.201034,590,,590,244.0,results/controlled-resource/matched-2x2-p004-20260919-190431-460983/results.csv
watering,p004,count-downward-agile,irhff,tight/loose,solved,valid,0.401782,14726,,14726,252.0,results/controlled-resource/matched-2x2-p004-20260919-190431-460983/results.csv
watering,p004,count-downward-agile,irhff,tight/tight,solved,valid,0.201013,2483,,2483,386.0,results/controlled-resource/matched-2x2-p004-20260919-190431-460983/results.csv
watering,p004,enhsp,hadd,loose/loose,solved,valid,1.004896,6570,,6570,172.0,results/controlled-resource/matched-2x2-p004-20260919-190431-460983/results.csv
watering,p004,enhsp,hadd,loose/tight,solved,valid,1.406304,19556,,19556,187.0,results/controlled-resource/matched-2x2-p004-20260919-190431-460983/results.csv
watering,p004,enhsp,hadd,tight/loose,timeout,not-run,60.028151,1010221,,1010221,,results/controlled-resource/matched-2x2-p004-20260919-190431-460983/results.csv
watering,p004,enhsp,hadd,tight/tight,timeout,not-run,60.032202,1407179,,1407179,,results/controlled-resource/matched-2x2-p004-20260919-190431-460983/results.csv
watering,p004,enhsp,hradd,loose/loose,solved,valid,0.602458,1805,,1805,246.0,results/controlled-resource/matched-2x2-p004-20260919-190431-460983/results.csv
watering,p004,enhsp,hradd,loose/tight,solved,valid,0.602782,1576,,1576,281.0,results/controlled-resource/matched-2x2-p004-20260919-190431-460983/results.csv
watering,p004,enhsp,hradd,tight/loose,solved,valid,0.803572,4051,,4051,296.0,results/controlled-resource/matched-2x2-p004-20260919-190431-460983/results.csv
watering,p004,enhsp,hradd,tight/tight,solved,valid,0.803864,5435,,5435,339.0,results/controlled-resource/matched-2x2-p004-20260919-190431-460983/results.csv
watering,p004,metric-ff-cross-v1,numeric-hff,loose/loose,solved,valid,0.201348,,442,442,309.0,results/controlled-resource/matched-2x2-p004-20260919-190431-460983/results.csv
watering,p004,metric-ff-cross-v1,numeric-hff,loose/tight,solved,valid,0.201042,,2368,2368,244.0,results/controlled-resource/matched-2x2-p004-20260919-190431-460983/results.csv
watering,p004,metric-ff-cross-v1,numeric-hff,tight/loose,solved,valid,0.200962,,1272,1272,325.0,results/controlled-resource/matched-2x2-p004-20260919-190431-460983/results.csv
watering,p004,metric-ff-cross-v1,numeric-hff,tight/tight,solved,valid,0.201257,,2072,2072,539.0,results/controlled-resource/matched-2x2-p004-20260919-190431-460983/results.csv
watering,p004,numeric-fast-downward-local,irhadd,loose/loose,solved,valid,44.167357,613818,,613818,137.0,results/controlled-resource/matched-2x2-p004-20260919-190431-460983/results.csv
watering,p004,numeric-fast-downward-local,irhadd,loose/tight,solved,valid,28.909915,671753,,671753,187.0,results/controlled-resource/matched-2x2-p004-20260919-190431-460983/results.csv
watering,p004,numeric-fast-downward-local,irhadd,tight/loose,timeout,not-run,60.031242,26382,,26382,,results/controlled-resource/matched-2x2-p004-20260919-190431-460983/results.csv
watering,p004,numeric-fast-downward-local,irhadd,tight/tight,timeout,not-run,60.036825,431000,,431000,,results/controlled-resource/matched-2x2-p004-20260919-190431-460983/results.csv
